,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,keyword1,keyword2,keyword3,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,precessing,notspinning,s1,s2,eta
978,"['PRIVATE:BBH:1058', 'SXS:BBH:0991']",1.999912925402835,"[-0.670551631394, -0.435038274079, 0.0288120886924]","[-0.318672463742, -0.723392579848, 0.121337526121]",0.958515298898,,,,-0.670551631394,-0.435038274079,0.0288120886924,-0.318672463742,-0.723392579848,0.121337526121,1,0,0.799829936132431,0.7997323045692888,0.2222254472072997
979,"['PRIVATE:BBH:1059', 'SXS:BBH:0992']",1.9997790175438932,"[-0.032734693838400004, 0.79927237564, -0.00435321999562]","[-0.33355909002899997, -0.725162466421, 0.049995414008600005]",0.959039247826,,,,-0.032734693838400004,0.79927237564,-0.00435321999562,-0.33355909002899997,-0.725162466421,0.049995414008600005,1,0,0.7999542744221281,0.7997635967388449,0.22223040675758918
980,"['PRIVATE:BBH:1060', 'SXS:BBH:0993']",1.000002440683616,"[0.00973602166447, -0.0657900254513, -0.796960424959]","[-0.690312513092, -0.403095324439, 0.0264620875045]",0.9591117392,,,,0.00973602166447,-0.0657900254513,-0.796960424959,-0.690312513092,-0.403095324439,0.0264620875045,1,0,0.799730602464082,0.7998233857490484,0.2499999999996277
981,"['PRIVATE:BBH:1061', 'SXS:BBH:0994']",1.999773029928868,"[0.00837016914801, -0.043568986608900004, -0.798723875795]","[-0.583546734912, -0.545875768641, 0.0307858071799]",0.971201021162,,,,0.00837016914801,-0.043568986608900004,-0.798723875795,-0.583546734912,-0.545875768641,0.0307858071799,1,0,0.7999550900461098,0.7996592477671828,0.2222306285211049
982,"['PRIVATE:BBH:1062', 'SXS:BBH:0995']",1.8149697947503811,"[0.514780151411, 0.38630740190699997, 0.45126200388]","[0.27490144584, -0.7254097431859999, -0.0755100517368]",0.945327590509,,,,0.514780151411,0.38630740190699997,0.45126200388,0.27490144584,-0.7254097431859999,-0.0755100517368,1,0,0.7860466965776661,0.7794176469309603,0.22904558427044214
983,"['PRIVATE:BBH:1063', 'SXS:BBH:0996']",1.353901500649736,"[0.645201069921, 0.237464047237, 0.343504594068]","[-0.601620197924, 0.244251507534, -0.212135738742]",0.9462991399099999,,,,0.645201069921,0.237464047237,0.343504594068,-0.601620197924,0.244251507534,-0.212135738742,1,0,0.768549933643352,0.6830865487874569,0.2443489617683619
984,"['PRIVATE:BBH:1064', 'SXS:BBH:0997']",1.389304596988987,"[-0.490301457148, 0.187554480933, 0.442514754252]","[0.6093246688189999, 0.41754090470099997, 0.0240157234581]",0.9425473094969999,,,,-0.490301457148,0.187554480933,0.442514754252,0.6093246688189999,0.41754090470099997,0.0240157234581,1,0,0.6865795729048506,0.7390491959965382,0.24336293554436672
985,"['PRIVATE:BBH:1065', 'SXS:BBH:0998']",1.401591382303571,"[0.416839207939, 0.313033867342, 0.255862515021]","[0.486230701744, 0.439041395673, -0.44423857755699997]",0.951903277436,,,,0.416839207939,0.313033867342,0.255862515021,0.486230701744,0.439041395673,-0.44423857755699997,1,0,0.5806985052255371,0.7915336734611012,0.2430094628958659
986,"['PRIVATE:BBH:1066', 'SXS:BBH:0999']",1.49461842684661,"[-0.205784527778, -0.653504256194, 0.227951441047]","[0.714156142912, 0.31332505556699997, -0.116727273512]",0.949781334515,,,,-0.205784527778,-0.653504256194,0.227951441047,0.714156142912,0.31332505556699997,-0.116727273512,1,0,0.7220643629288815,0.7885536400819882,0.24017183723330326
987,"['PRIVATE:BBH:1067', 'SXS:BBH:1000']",1.205529728242502,"[0.306711062249, 0.6295901452129999, 0.342484756429]","[-0.598217964835, -0.0238115209908, 0.48054392614499997]",0.935957613211,,,,0.306711062249,0.6295901452129999,0.342484756429,-0.598217964835,-0.0238115209908,0.48054392614499997,1,0,0.7795840141007688,0.7676940711885665,0.24782898175769028
988,"['PRIVATE:BBH:1068', 'SXS:BBH:1001']",1.505615365364948,"[-0.590406704729, -0.0539686031869, 0.347002214077]","[0.225305849057, -0.592669805852, 0.348102045253]",0.941692075796,,,,-0.590406704729,-0.0539686031869,0.347002214077,0.225305849057,-0.592669805852,0.348102045253,1,0,0.6869521262018496,0.7233223750840733,0.23981990740409817
989,"['PRIVATE:BBH:1069', 'SXS:BBH:1002']",1.821717536295552,"[0.530283908463, -0.056540199538, 0.274420586967]","[0.388867342213, -0.433607819174, -0.533809980433]",0.955219276919,,,,0.530283908463,-0.056540199538,0.274420586967,0.388867342213,-0.433607819174,-0.533809980433,1,0,0.5997536796801709,0.7900548372730304,0.22879891706251207
990,"['PRIVATE:BBH:1070', 'SXS:BBH:1003']",1.5712220004714181,"[0.5571641445709999, 0.0207654726131, -0.421283417201]","[-0.0974542233875, -0.629033348778, -0.417318263052]",0.96374335746,,,,0.5571641445709999,0.0207654726131,-0.421283417201,-0.0974542233875,-0.629033348778,-0.417318263052,1,0,0.6988152877956602,0.7611404681185097,0.23766126294025341
991,"['PRIVATE:BBH:1071', 'SXS:BBH:1004']",1.602413652652971,"[-0.347974653092, 0.280821932146, -0.574308879066]","[-0.0383460797897, -0.680365495011, 0.22520631774]",0.962164696937,,,,-0.347974653092,0.280821932146,-0.574308879066,-0.0383460797897,-0.680365495011,0.22520631774,1,0,0.7278585064026908,0.7176945828044203,0.23660394373299976
