,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,remnant_dimensionless_spin,keyword1,keyword2,keyword3,reference_chi_eff,reference_chi1_perp,reference_chi2_perp,reference_mass1,reference_mass2,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,remnant_dimensionless_spin_1,remnant_dimensionless_spin_2,remnant_dimensionless_spin_3,precessing,notspinning,s1,s2,eta,s1_sum,s2_sum,s3_sum,m1+m2,seff
10,SXS:BBH:0011,1.5006696578353051,"[0.248056705263, 0.0256132806015, 0.43277273947399997]","[2.33360077819e-08, 8.62830188581e-10, 2.34239723684e-07]",0.9458870720579999,"[0.058849535856300005, -0.00459910038295, 0.767541127116]",Precessing-Spins,ManyMergers-QuasiCircular,,0.25988042682810003,0.24888233196653303,2.3024240955394602e-08,0.6002683099299999,0.400000297731,0.248056705263,0.0256132806015,0.43277273947399997,2.33360077819e-08,8.62830188581e-10,2.34239723684e-07,0.058849535856300005,-0.00459910038295,0.767541127116,1,0,0.4994801429495838,2.3540085362353277e-07,0.23997856521382813,0.2480567285990078,0.02561328146433019,0.43277297371372364,1.000268607661,0.9609364693288837
11,SXS:BBH:0012,1.5006803526474881,"[4.24393524061e-12, -5.50860112406e-12, -0.499515]","[-3.97938596615e-10, -1.34815727819e-09, 2.9715585112699997e-07]",0.962622285899,"[3.17933209092e-08, 9.150130662500001e-09, 0.540383658666]",Aligned-Spins,ManyMergers-QuasiCircular,,-0.299763241792674,3.7926199492785026e-11,1.405661121432436e-09,0.600272561263,0.400000280009,4.24393524061e-12,-5.50860112406e-12,-0.499515,-3.97938596615e-10,-1.34815727819e-09,2.9715585112699997e-07,3.17933209092e-08,9.150130662500001e-09,0.540383658666,0,0,0.499515,2.971591757664319e-07,0.2399782227952549,-3.9369466137439e-10,-1.35366587931406e-09,-0.49951470284414884,1.000272841272,0.9610087940705824
12,SXS:BBH:0013,1.500679601506878,"[-5.1383889173e-13, -1.6739469661699999e-12, 0.499524000001]","[1.34855433834e-10, -5.30905504886e-10, 2.3504165714199996e-07]",0.944600272751,"[1.68307913947e-08, 3.46443693278e-08, 0.781377933182]",Aligned-Spins,ManyMergers-QuasiCircular,,0.299768795592432,7.15297543417678e-12,5.477651356350968e-10,0.600272209917,0.400000246098,-5.1383889173e-13,-1.6739469661699999e-12,0.499524000001,1.34855433834e-10,-5.30905504886e-10,2.3504165714199996e-07,1.68307913947e-08,3.46443693278e-08,0.781377933182,0,0,0.499524000001,2.3504229542510133e-07,0.23997824684481384,1.3434159494227e-10,-5.325794518521701e-10,0.49952423504265714,1.000272456015,0.9610265379668744
13,SXS:BBH:0014,1.500678597231957,"[4.85992469924e-13, -2.21288846617e-13, -0.499520000002]","[1.02333055263e-10, 5.10818960901e-11, 2.1691434624e-07]",0.962684511552,"[-1.38022394836e-09, 1.77730015903e-10, 0.540290671657]",Aligned-Spins,ManyMergers-QuasiCircular,,-0.299766134203622,1.896133278451784e-12,1.1437401068129241e-10,0.600271845173,0.400000270731,4.85992469924e-13,-2.21288846617e-13,-0.499520000002,1.02333055263e-10,5.10818960901e-11,2.1691434624e-07,-1.38022394836e-09,1.77730015903e-10,0.540290671657,0,0,0.499520000002,2.169143763934076e-07,0.23997827899904925,1.02819047732924e-10,5.0860607243483e-11,-0.4995197830876537,1.000272115904,0.9610174881038998
14,SXS:BBH:0015,1.5006762199229762,"[0.487326892858, 0.109704265789, 0.00127246165413]","[5.7170986654e-09, 3.19934326315e-09, 1.44722947744e-07]",0.954807164156,"[0.11526451619599999, -0.0141329615672, 0.674831060007]",Precessing-Spins,ManyMergers-QuasiCircular,,0.000755677513837,0.49952233199543306,9.119614882907695e-09,0.6002707505229999,0.40000017495699997,0.487326892858,0.109704265789,0.00127246165413,5.7170986654e-09,3.19934326315e-09,1.44722947744e-07,0.11526451619599999,-0.0141329615672,0.674831060007,1,0,0.4995239189404221,1.4487115868307928e-07,0.23997835511411286,0.4873268985750987,0.10970426898834326,0.0012726063770777442,1.00027092548,0.9610236260868459
15,SXS:BBH:0016,1.5006757189201632,"[1.82501988722e-12, -4.3501023985e-12, -0.499523999999]","[-4.5467691804600005e-10, -8.222941003820001e-10, 1.3370309548899997e-07]",0.962682990649,"[1.43982733845e-08, -4.0238967125400005e-09, 0.540274948098]",Aligned-Spins,ManyMergers-QuasiCircular,,-0.29976833799025304,1.597426064445063e-11,9.396268873475711e-10,0.6002704673129999,0.400000119776,1.82501988722e-12,-4.3501023985e-12,-0.499523999999,-4.5467691804600005e-10,-8.222941003820001e-10,1.3370309548899997e-07,1.43982733845e-08,-4.0238967125400005e-09,0.540274948098,0,0,0.499523999999,1.3370639716194574e-07,0.23997837115486212,-4.5285189815878005e-10,-8.266442027805001e-10,-0.4995238662959045,1.0002705870889999,0.9610229706300631
16,SXS:BBH:0017,1.5006147197721011,"[0.496640931956, 0.0509531127443, -0.00037404574285800004]","[1.2672830127800001e-08, 5.33270804888e-09, 2.50056684211e-07]",0.954712534693,"[0.0948812759313, 0.00244724868745, 0.678118403751]",Precessing-Spins,ManyMergers-QuasiCircular,,0.0007829583430920001,0.49924630499545003,1.446469225748873e-08,0.600246353335,0.400000310157,0.496640931956,0.0509531127443,-0.00037404574285800004,1.2672830127800001e-08,5.33270804888e-09,2.50056684211e-07,0.0948812759313,0.00244724868745,0.678118403751,1,0,0.49924800941283215,2.504343900449426e-07,0.2399803241339902,0.4966409446288301,0.050953118077008044,-0.000373795686173789,1.000246663492,0.9604570566027276
17,SXS:BBH:0018,1.50067621532241,"[0.487323752256, 0.109718069173, 0.00127339228572]","[5.712420981200001e-09, 3.19658668045e-09, 1.44700819173e-07]",0.9548002632579999,"[0.115240717635, -0.014171167144200001, 0.674799298136]",Precessing-Spins,ManyMergers-QuasiCircular,,0.0007553053468680001,0.49952230367994205,9.114961148148787e-09,0.600270749187,0.40000017529299997,0.487323752256,0.109718069173,0.00127339228572,5.712420981200001e-09,3.19658668045e-09,1.44700819173e-07,0.115240717635,-0.014171167144200001,0.674799298136,1,0,0.49952388906220674,1.4484880734479428e-07,0.23997835526141056,0.487323757968421,0.10971807236958668,0.001273536986539173,1.0002709244799999,0.9610235673650522
18,SXS:BBH:0019,1.499964336821842,"[-5.704387417299999e-13, -1.05249429323e-12, -0.499517]","[-1.84754165413e-12, -5.773849539839999e-13, 0.499464999999]",0.959582080374,"[8.18189877206e-09, 7.36096133903e-08, 0.586755043515]",Aligned-Spins,ManyMergers-QuasiCircular,,-0.099918499619395,3.3748959514447676e-12,2.856006209865962e-12,0.600272020562,0.40019086175999996,-5.704387417299999e-13,-1.05249429323e-12,-0.499517,-1.84754165413e-12,-5.773849539839999e-13,0.499464999999,8.18189877206e-09,7.36096133903e-08,0.586755043515,0,0,0.499517,0.499464999999,0.24000114120542054,-2.41798039586e-12,-1.6298792472139998e-12,-5.200000099997437e-05,1.000462882322,0.00010008599010818873
19,SXS:BBH:0020,1.5000119378593562,"[0.000131240778615, -0.00039530463233, 0.499526684211]","[0.49420043421, 0.0710131617293, -0.000280940213045]",0.9449899643749999,"[0.0453527168047, 0.00889958269636, 0.788093945425]",Precessing-Spins,ManyMergers-QuasiCircular,,0.29981615642110804,0.004279680058846,0.499276417922269,0.60027219426,0.400178277992,0.000131240778615,-0.00039530463233,0.499526684211,0.49420043421,0.0710131617293,-0.000280940213045,0.0453527168047,0.00889958269636,0.788093945425,1,0,0.49952685786525075,0.4992764937782947,0.23999961798667646,0.49433167498861497,0.07061785709697,0.499245743997955,1.000450472252,1.3590400532062488
